"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\config\connection.js", "JavaScript", 3, 0, 0, 3, 6
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\models\index.js", "JavaScript", 13, 0, 6, 6, 25
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\models\movies.js", "JavaScript", 34, 0, 4, 4, 42
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\models\users.js", "JavaScript", 39, 0, 6, 8, 53
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\package-lock.json", "JSON", 0, 2583, 0, 1, 2584
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\package.json", "JSON", 0, 27, 0, 3, 30
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\schemas\resolvers\index.js", "JavaScript", 3, 0, 0, 2, 5
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\schemas\resolvers\movieResolvers.js", "JavaScript", 41, 0, 3, 4, 48
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\schemas\resolvers\userResolvers.js", "JavaScript", 63, 0, 11, 9, 83
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\schemas\typeDefs\index.js", "JavaScript", 12, 0, 0, 4, 16
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\schemas\typeDefs\movieTypeDefs.js", "JavaScript", 24, 0, 1, 6, 31
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\schemas\typeDefs\userTypeDefs.js", "JavaScript", 27, 0, 0, 6, 33
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\seeders\cleanDB.js", "JavaScript", 14, 0, 0, 3, 17
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\seeders\movieSeeds.json", "JSON", 0, 682, 0, 3, 685
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\seeders\seed.js", "JavaScript", 13, 0, 0, 5, 18
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\seeders\userSeeds.json", "JSON", 0, 40, 0, 1, 41
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\server.js", "JavaScript", 34, 0, 0, 10, 44
"c:\Users\s10sk\bootcamp\myflix-shanes-p3\server\utils\Auth.js", "JavaScript", 33, 0, 1, 8, 42
"Total", "-", 353, 3332, 32, 86, 3803
